id,tgl_rakit,tgl_pasang,bulan,tahun,no_po,ukuran,jumlah,satuan,lokasi,tahun_tanam,estate,divisi,status,status2,keterangan,periode,ukuran2,bln_name,x,y
44,2024-12-12,2024-12-12,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L19,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.078699,0.513301
45,2024-12-17,2024-12-17,December,2024,,Diameter 3 X 6 Mtr,1,Unit,Jalan PEMDA Div 1,,Ngaring,1,PEMDA,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,3 X 6,Dec,111.09469,0.544017
46,2024-12-18,2024-12-18,December,2024,,Diameter 1 X 5 Mtr,1,Unit,Jalan PEMDA Div 1,,Ngaring,2,PEMDA,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.095698,0.543738
47,2024-12-20,2024-12-20,December,2024,,Diameter 1.5 X 6 Mtr,1,Unit,L09,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1.5 X 6,Dec,111.086475,0.506502
48,2024-12-20,2024-12-20,December,2024,,Diameter 2 X 6 Mtr,1,Unit,L05,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,2 X 6,Dec,111.086448,0.502157
49,2024-12-20,2024-12-20,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L05,,Ngaring,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.084878,0.502118
50,2024-12-20,2024-12-20,December,2024,,Diameter 2 X 6 Mtr,1,Unit,L05,,Ngaring,1,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,2 X 6,Dec,111.0859,0.500037
51,2024-12-21,2024-12-21,December,2024,,Diameter 1.5 X 6 Mtr,1,Unit,L14,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1.5 X 6,Dec,111.088203,0.513203
52,2024-12-21,2024-12-21,December,2024,,Diameter 1.5 X 6 Mtr,1,Unit,L18,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1.5 X 6,Dec,111.084415,0.514249
53,2024-12-21,2024-12-21,December,2024,,Diameter 1 X 5 Mtr,1,Unit,L05,,Ngaring,2,Inti,Terpasang,Pembelian PO : 1062/PO GUM/VIII-24/19 (PO 1),2025-03-31,1 X 5,Dec,111.086678,0.504872
