id,blok,estate,divisi,status_lahan,tahun_tanam,jenis_bibit,status_tanaman,blok_tt,jumlah_pokok,luas,sph
302,C41,Sedadung,2,Inti,2022,Lonsum,TBM,C412022,73,0.48,152.08333333333334
303,C41,Sedadung,2,Inti,2023,Lonsum,TBM,C412023,152,1.06,143.39622641509433
304,C42,Sedadung,2,Inti,2023,Lonsum,TBM,C422023,71,0.52,136.53846153846155
305,D01,Sedadung,4,Plasma,2011,Socfindo,TM,D012011,1253,19.46,64.38848920863309
306,D01,Sedadung,4,Plasma,2021,Socfindo,TBM,D012021,143,1.03,138.83495145631068
307,D01,Sedadung,4,Plasma,2022,Lonsum,TBM,D012022,1323,2.5,529.2
308,D01,Sedadung,4,Plasma,2023,Lonsum,TBM,D012023,43,0.0,0.0
309,D02,Sedadung,4,Plasma,2009,Socfindo,TM,D022009,2888,29.63,97.4687816402295
310,D02,Sedadung,4,Plasma,2021,Socfindo,TBM,D022021,77,0.7000000000000001,110.0
311,D02,Sedadung,4,Plasma,2022,Lonsum,TBM,D022022,411,0.0,0.0
312,D02,Sedadung,4,Plasma,2023,Topaz,TBM,D022023,153,0.0,0.0
313,D03,Sedadung,4,Plasma,2008,Socfindo,TM,D032008,4003,29.49,135.74092912851816
314,D03,Sedadung,4,Plasma,2020,Socfindo,TM,D032020,341,1.64,207.9268292682927
315,D03,Sedadung,4,Plasma,2022,Lonsum,TBM,D032022,42,0.0,0.0
316,D04,Sedadung,3,Inti,2008,Socfindo,TM,D042008,2964,22.14,133.87533875338755
317,D04,Sedadung,3,Inti,2020,Socfindo,TM,D042020,249,1.26,197.6190476190476
318,D05,Sedadung,3,Inti,2008,Socfindo,TM,D052008,3348,23.2,144.31034482758622
319,D05,Sedadung,3,Inti,2020,Socfindo,TM,D052020,75,0.61,122.95081967213116
320,D05,Sedadung,3,Inti,2021,Socfindo,TBM,D052021,21,0.15,140.0
321,D06,Sedadung,3,Inti,2008,Socfindo,TM,D062008,1911,13.71,139.38730853391684
322,D06,Sedadung,3,Inti,2020,Socfindo,TM,D062020,85,0.4599999999999999,184.7826086956522
323,D07,Sedadung,3,Inti,2008,Lonsum,TM,D072008,4850,37.1,130.7277628032345
324,D07,Sedadung,3,Inti,2020,Lonsum,TM,D072020,246,1.57,156.68789808917197
325,D07,Sedadung,3,Inti,2022,Lonsum,TBM,D072022,71,0.0,0.0
326,D08,Sedadung,3,Inti,2008,Lonsum,TM,D082008,3332,24.14,138.0281690140845
327,D08,Sedadung,3,Inti,2020,Socfindo,TM,D082020,141,0.3999999999999999,352.50000000000006
328,D08,Sedadung,3,Inti,2022,Lonsum,TBM,D082022,152,1.22,124.59016393442624
329,D09,Sedadung,3,Inti,2010,Lonsum,TM,D092010,2016,14.47,139.3227366966137
330,D09,Sedadung,3,Inti,2020,Socfindo,TM,D092020,49,0.22,222.72727272727272
331,D10,Sedadung,3,Inti,2010,Lonsum,TM,D102010,1444,10.92,132.23443223443223
332,D10,Sedadung,3,Inti,2020,Lonsum,TM,D102020,10,0.07,142.85714285714283
333,D10,Sedadung,3,Inti,2021,Socfindo,TBM,D102021,162,1.19,136.1344537815126
334,D10,Sedadung,3,Inti,2022,Lonsum,TBM,D102022,180,1.16,155.17241379310346
335,D11,Sedadung,4,Plasma,2009,Damimas,TM,D112009,1487,12.54,118.5805422647528
336,D11,Sedadung,4,Plasma,2022,Lonsum,TBM,D112022,73,0.29,251.7241379310345
337,D12,Sedadung,4,Plasma,2009,Socfindo,TM,D122009,3045,24.7,123.27935222672065
338,D12,Sedadung,4,Plasma,2022,Lonsum,TBM,D122022,1004,5.6000000000000005,179.28571428571428
339,D13,Sedadung,4,Plasma,2009,Socfindo,TM,D132009,3429,24.92,137.60032102728732
340,D13,Sedadung,4,Plasma,2020,Socfindo,TM,D132020,160,0.48,333.33333333333337
341,D13,Sedadung,4,Plasma,2022,Lonsum,TBM,D132022,380,2.64,143.93939393939397
342,D14,Sedadung,4,Plasma,2008,Lonsum,TM,D142008,3982,29.64,134.3454790823212
343,D14,Sedadung,4,Plasma,2020,Socfindo,TM,D142020,180,0.61,295.08196721311475
344,D14,Sedadung,4,Plasma,2022,Lonsum,TBM,D142022,160,0.0,0.0
345,D15,Sedadung,3,Inti,2008,Socfindo,TM,D152008,4008,29.53,135.72637995259058
346,D15,Sedadung,3,Inti,2020,Socfindo,TM,D152020,330,2.34,141.02564102564102
347,D16,Sedadung,3,Inti,2008,Socfindo,TM,D162008,2768,20.28,136.48915187376724
348,D16,Sedadung,3,Inti,2020,Socfindo,TM,D162020,130,0.89,146.06741573033707
349,D17,Sedadung,3,Inti,2008,Lonsum,TM,D172008,1429,10.3,138.7378640776699
350,D17,Sedadung,3,Inti,2020,Socfindo,TM,D172020,60,0.22,272.72727272727275
351,D18,Sedadung,3,Inti,2022,Lonsum,TBM,D182022,155,1.18,131.35593220338984
352,D20,Sedadung,4,Plasma,2009,Lonsum,TM,D202009,1371,11.14,123.07001795332135
353,D20,Sedadung,4,Plasma,2022,Lonsum,TBM,D202022,116,0.34,341.17647058823525
354,D22,Sedadung,4,Inti,2009,Damimas,TM,D222009,2153,19.56,110.0715746421268
355,D22,Sedadung,4,Inti,2020,Socfindo,TM,D222020,50,0.23,217.3913043478261
356,D22,Sedadung,4,Inti,2022,Lonsum,TBM,D222022,915,4.109999999999999,222.6277372262774
357,D25,Sedadung,4,Inti,2008,Damimas,TM,D252008,2265,20.32,111.46653543307086
358,D26,Sedadung,4,Inti,2008,Socfindo,TM,D262008,1979,17.87,110.74426412982652
359,D29,Sedadung,4,Inti,2010,Socfindo,TM,D292010,1406,11.35,123.87665198237886
360,D29,Sedadung,4,Inti,2020,Socfindo,TM,D292020,40,0.1,400.0
361,D29,Sedadung,4,Inti,2022,Lonsum,TBM,D292022,78,0.0,0.0
362,D31,Sedadung,4,Inti,2009,Lonsum,TM,D312009,2777,19.94,139.2678034102307
363,D31,Sedadung,4,Inti,2020,Socfindo,TM,D312020,285,2.1,135.71428571428572
364,D32,Sedadung,4,Inti,2009,Socfindo,TM,D322009,1079,7.82,137.97953964194372
365,D32,Sedadung,4,Inti,2024,Topaz,TBM,D322024,133,0.97,137.11340206185568
366,D33,Sedadung,3,Inti,2008,Lonsum,TM,D332008,2305,18.44,125.0
367,D33,Sedadung,3,Inti,2020,Lonsum,TM,D332020,131,0.92,142.3913043478261
368,D33,Sedadung,3,Inti,2022,Lonsum,TBM,D332022,34,0.26,130.76923076923077
369,D34,Sedadung,3,Inti,2008,Lonsum,TM,D342008,1297,10.54818181818182,122.95957941911574
370,D34,Sedadung,3,Inti,2020,Socfindo,TM,D342020,26,0.1818181818181818,143.0
371,D34,Sedadung,3,Inti,2022,Lonsum,TBM,D342022,23,0.0,0.0
372,D35,Sedadung,3,Inti,2008,Socfindo,TM,D352008,1593,11.956083916083916,133.23760615773344
373,D35,Sedadung,3,Inti,2020,Socfindo,TM,D352020,82,0.7939160839160839,103.28547520479168
374,D35,Sedadung,3,Inti,2022,Lonsum,TBM,D352022,159,0.91,174.72527472527472
375,D36,Sedadung,3,Inti,2010,Damimas,TM,D362010,3647,27.55,132.37749546279494
376,D36,Sedadung,3,Inti,2020,Socfindo,TM,D362020,250,1.28,195.3125
377,D36,Sedadung,3,Inti,2021,Socfindo,TBM,D362021,268,1.84,145.6521739130435
378,E39,Sedadung,6,Inti,2010,Socfindo,TM,E392010,1568,12.13,129.26628194558947
379,E39,Sedadung,6,Inti,2020,Socfindo,TM,E392020,90,0.4,225.0
380,E39,Sedadung,6,Inti,2021,Socfindo,TBM,E392021,238,1.68,141.66666666666669
381,E39,Sedadung,6,Inti,2022,Lonsum,TBM,E392022,332,2.17,152.99539170506912
382,E39,Sedadung,6,Inti,2023,Lonsum,TBM,E392023,46,0.33,139.39393939393938
383,E40,Sedadung,6,Inti,2009,Socfindo,TM,E402009,2053,15.75,130.34920634920636
384,E40,Sedadung,6,Inti,2020,Socfindo,TM,E402020,180,0.86,209.30232558139537
385,E01,Sedadung,5,Inti,2008,Socfindo,TM,E012008,2556,19.82,128.9606458123108
386,E01,Sedadung,5,Inti,2020,Socfindo,TM,E012020,382,2.06,185.4368932038835
387,E01,Sedadung,5,Inti,2021,Socfindo,TBM,E012021,133,0.96,138.54166666666669
388,E02,Sedadung,5,Inti,2008,Lonsum,TM,E022008,2456,17.93,136.9771332961517
389,E02,Sedadung,5,Inti,2020,Socfindo,TM,E022020,244,1.36,179.41176470588235
390,E03,Sedadung,5,Inti,2010,Damimas,TM,E032010,2180,16.23,134.31916204559457
391,E03,Sedadung,5,Inti,2020,Socfindo,TM,E032020,432,3.02,143.04635761589404
392,E04,Sedadung,5,Inti,2008,Socfindo,TM,E042008,1526,10.95,139.3607305936073
393,E04,Sedadung,5,Inti,2020,Socfindo,TM,E042020,52,0.19,273.6842105263158
394,E04,Sedadung,5,Inti,2022,Lonsum,TBM,E042022,21,0.0,0.0
395,E05,Sedadung,5,Inti,2010,Socfindo,TM,E052010,984,9.31,105.69280343716432
396,E05,Sedadung,5,Inti,2020,Lonsum,TM,E052020,295,2.28,129.3859649122807
397,E05,Sedadung,5,Inti,2021,Lonsum,TBM,E052021,96,0.6,160.0
398,E05,Sedadung,5,Inti,2022,Lonsum,TBM,E052022,844,6.199999999999999,136.12903225806454
399,E05,Sedadung,5,Inti,2023,Lonsum,TBM,E052023,270,0.82,329.26829268292687
400,E06,Sedadung,5,Inti,2008,Lonsum,TM,E062008,1847,13.51,136.71354552183567
401,E07,Sedadung,5,Inti,2010,Socfindo,TM,E072010,319,2.21,144.34389140271497
402,E07,Sedadung,5,Inti,2020,Socfindo,TM,E072020,20,0.12,166.66666666666669
403,E07,Sedadung,5,Inti,2022,Lonsum,TBM,E072022,88,0.2699999999999999,325.925925925926
404,E08,Sedadung,5,Inti,2008,Damimas,TM,E082008,4307,31.8,135.44025157232704
405,E08,Sedadung,5,Inti,2020,Socfindo,TM,E082020,363,2.71,133.94833948339485
406,E08,Sedadung,5,Inti,2021,Lonsum,TBM,E082021,210,1.9,110.52631578947368
407,E08,Sedadung,5,Inti,2022,Lonsum,TBM,E082022,730,4.81,151.76715176715177
408,E08,Sedadung,5,Inti,2023,Lonsum,TBM,E082023,208,1.44,144.44444444444446
409,E09,Sedadung,5,Inti,2008,Lonsum,TM,E092008,2594,19.23,134.89339573582944
410,E09,Sedadung,5,Inti,2021,Socfindo,TBM,E092021,227,1.71,132.7485380116959
411,E09,Sedadung,5,Inti,2022,Lonsum,TBM,E092022,182,1.41,129.07801418439718
412,E09,Sedadung,5,Inti,2023,Lonsum,TBM,E092023,199,1.16,171.55172413793105
413,E10,Sedadung,5,Inti,2010,Lonsum,TM,E102010,148,1.31,112.97709923664122
414,E10,Sedadung,5,Inti,2021,Lonsum,TBM,E102021,2763,20.79,132.90043290043292
415,E10,Sedadung,5,Inti,2022,Lonsum,TBM,E102022,129,0.92,140.2173913043478
416,E10,Sedadung,5,Inti,2023,Lonsum,TBM,E102023,41,0.32,128.125
417,E11,Sedadung,5,Inti,2010,Socfindo,TM,E112010,1230,8.760000000000002,140.41095890410958
418,E11,Sedadung,5,Inti,2020,Socfindo,TM,E112020,315,2.39,131.79916317991632
419,E11,Sedadung,5,Inti,2021,Socfindo,TBM,E112021,1188,8.99,132.146829810901
420,E11,Sedadung,5,Inti,2022,Lonsum,TBM,E112022,1174,8.75,134.17142857142858
421,E12,Sedadung,5,Inti,2010,Socfindo,TM,E122010,782,4.98,157.02811244979918
422,E12,Sedadung,5,Inti,2020,Socfindo,TM,E122020,1507,11.03,136.62737987307344
423,E12,Sedadung,5,Inti,2022,Lonsum,TBM,E122022,416,3.05,136.39344262295083
424,E12,Sedadung,5,Inti,2023,Lonsum,TBM,E122023,102,0.62,164.51612903225808
425,E13,Sedadung,5,Inti,2010,Damimas,TM,E132010,3545,27.14,130.61901252763448
426,E13,Sedadung,5,Inti,2020,Lonsum,TM,E132020,370,2.73,135.53113553113553
427,E13,Sedadung,5,Inti,2021,Lonsum,TBM,E132021,200,1.46,136.986301369863
