id,company,estate_lama,status_lahan,divisi_lama,blok,tahun_tanam,id.1,class,luas,comments,bulan,periode,pokok,asal_bibit,estate,divisi,tm_tbm,divisi_a_b,x,y
4830,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.08,,,,0,Lonsum,Melamor,3,TM,,1112464710557,0.453018008295685
4831,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.1,,,,0,Lonsum,Melamor,3,TM,,11124636713098,0.453472710195221
4832,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.13,,,,0,Lonsum,Melamor,3,TM,,111245422033488,0.452378235671343
4833,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.05,,,,0,Lonsum,Melamor,3,TM,,111245314672371,0.453696021538766
4834,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.11,,,,0,Lonsum,Melamor,3,TM,,111247211962192,0.450218580202146
4835,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.03,,,,0,Lonsum,Melamor,3,TM,,111248312749904,0.452890260903267
4836,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.04,,,,0,Lonsum,Melamor,3,TM,,111244036635663,0.451497632841891
4837,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.06,,,,0,Lonsum,Melamor,3,TM,,111244119109582,0.448813641521727
4838,PT. Grand Utama Mandiri,Timur,Inti,Division II,B12,2010,4,Vacant Area,0.06,,,,0,Lonsum,Melamor,3,TM,,11124418861132,0.448601968803488
4839,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,1,Palms,0.06,,,,0,Damimas,Melamor,4,TM,,111254190141139,0.465358540727162
4840,PT. Grand Utama Mandiri,Timur,Inti,Division II,B17,2009,4,Vacant Area,0.11,,,,0,Damimas,Melamor,4,TM,,11125417481008,0.465073195634194
4841,PT. Grand Utama Mandiri,Timur,Inti,Division II,B22,2009,1,Palms,0.29,,,,0,Damimas,Melamor,4,TM,,111260196041886,0.46788394161961
